,event_id,station,components,time,duration,amplitude,energy,signal_type
39,20180101T023244Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T02:32:44.463392Z,27.66,1510.52134307,5196065.34722,amplitude
40,20180101T023617Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T02:36:17.883392Z,22.92,1313.03403499,4383704.54714,amplitude
41,20180101T024008Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T02:40:08.863392Z,40.72,2986.91806292,13534154.232,amplitude
42,20180101T024350Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T02:43:50.403392Z,20.02,1942.2206504,6313417.67225,amplitude
43,20180101T024527Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T02:45:27.503392Z,11.64,750.040025581,962813.307449,amplitude
44,20180101T024705Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T02:47:05.443392Z,23.42,2741.94189029,10354955.976,amplitude
45,20180101T025017Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T02:50:17.043392Z,25.06,1699.90766349,6741545.25507,amplitude
46,20180101T025250Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T02:52:50.103392Z,28.46,2782.54524338,18203933.4538,amplitude
47,20180101T025446Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T02:54:46.683392Z,128.28,5104.71211242,75116150.9457,amplitude
48,20180101T030617Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T03:06:17.983392Z,7.0,706.152441471,566539.724401,amplitude
49,20180101T031733Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T03:17:33.403392Z,18.24,844.85973405,2287552.16513,amplitude
50,20180101T033046Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T03:30:46.703392Z,49.56,608.442483367,3003239.06775,amplitude
51,20180101T033253Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T03:32:53.023392Z,79.2,885.422919187,7999885.87352,amplitude
52,20180101T034223Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T03:42:23.103392Z,9.74,555.143431558,528595.31302,amplitude
53,20180101T034841Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T03:48:41.263392Z,8.66,383.238187705,376809.103153,amplitude
54,20180101T035311Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T03:53:11.883392Z,7.48,509.985168419,284265.558269,amplitude
55,20180101T035458Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T03:54:58.063392Z,78.7,840.600496586,7218635.26352,amplitude
56,20180101T035903Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T03:59:03.003392Z,13.48,896.711732151,765167.760644,amplitude
57,20180101T040100Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T04:01:00.103392Z,9.46,515.660351893,364485.203899,amplitude
58,20180101T040553Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T04:05:53.903392Z,10.98,634.061937995,832975.499498,amplitude
59,20180101T040901Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T04:09:01.323392Z,27.6,807.446229319,2180517.13731,amplitude
60,20180101T041701Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T04:17:01.083392Z,19.94,724.589035527,1331452.19333,amplitude
61,20180101T042019Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T04:20:19.543392Z,130.76,783.684834884,8159762.96041,amplitude
62,20180101T042411Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T04:24:11.543392Z,23.42,593.013453582,1256847.38689,amplitude
63,20180101T042708Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T04:27:08.883392Z,63.0,716.909888178,5709225.21309,amplitude
64,20180101T043122Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T04:31:22.183392Z,10.4,536.138016668,652087.732788,amplitude
65,20180101T043354Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T04:33:54.643392Z,9.08,497.729015205,261883.505406,amplitude
66,20180101T043653Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T04:36:53.603392Z,83.46,848.601943665,6067507.08529,amplitude
67,20180101T044100Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T04:41:00.703392Z,17.68,566.170142479,1019656.89309,amplitude
68,20180101T044352Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T04:43:52.983392Z,12.78,629.19502534,753963.536559,amplitude
69,20180101T044751Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T04:47:51.423392Z,3.8,532.016001039,163723.690087,amplitude
70,20180101T044932Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T04:49:32.563392Z,6.98,599.812444704,447973.112289,amplitude
71,20180101T045744Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T04:57:44.763392Z,26.1,494.612756656,1348571.03793,amplitude
