,event_id,stations,network_time,ref_time,ref_duration,ref_amplitude,ref_energy,signal_type
47,20180101T025446Z,['DK.ILULI.'],0.0,2018-01-01T02:54:46.683392Z,128.28,6238.3442259,250595937.969,amplitude
48,20180101T030617Z,['DK.ILULI.'],0.0,2018-01-01T03:06:17.983392Z,7.0,1604.72692461,7864029.27202,amplitude
49,20180101T031733Z,['DK.ILULI.'],0.0,2018-01-01T03:17:33.403392Z,18.24,2065.18307592,28952502.6775,amplitude
50,20180101T033046Z,['DK.ILULI.'],0.0,2018-01-01T03:30:46.703392Z,49.56,1439.83353939,41247953.9629,amplitude
51,20180101T033253Z,['DK.ILULI.'],0.0,2018-01-01T03:32:53.023392Z,79.2,1713.36240745,55221380.2762,amplitude
52,20180101T034223Z,['DK.ILULI.'],0.0,2018-01-01T03:42:23.103392Z,9.74,1472.28974762,9399239.01467,amplitude
53,20180101T034841Z,['DK.ILULI.'],0.0,2018-01-01T03:48:41.263392Z,8.66,1309.69216291,6720460.66548,amplitude
54,20180101T035311Z,['DK.ILULI.'],0.0,2018-01-01T03:53:11.883392Z,7.48,1212.89018035,4693162.69803,amplitude
55,20180101T035458Z,['DK.ILULI.'],0.0,2018-01-01T03:54:58.063392Z,78.7,1641.32250954,58211755.2969,amplitude
56,20180101T035903Z,['DK.ILULI.'],0.0,2018-01-01T03:59:03.003392Z,13.48,1327.84399504,13122263.9052,amplitude
57,20180101T040100Z,['DK.ILULI.'],0.0,2018-01-01T04:01:00.103392Z,9.46,1329.35321003,7181480.10738,amplitude
58,20180101T040553Z,['DK.ILULI.'],0.0,2018-01-01T04:05:53.903392Z,10.98,1605.21406333,12493868.5797,amplitude
59,20180101T040901Z,['DK.ILULI.'],0.0,2018-01-01T04:09:01.323392Z,27.6,1512.74653504,17779804.9908,amplitude
60,20180101T041701Z,['DK.ILULI.'],0.0,2018-01-01T04:17:01.083392Z,19.94,1697.48154153,24375618.9867,amplitude
61,20180101T042019Z,['DK.ILULI.'],0.0,2018-01-01T04:20:19.543392Z,130.76,1471.6197342,70160371.8074,amplitude
62,20180101T042411Z,['DK.ILULI.'],0.0,2018-01-01T04:24:11.543392Z,23.42,1500.21105921,20605283.2919,amplitude
63,20180101T042708Z,['DK.ILULI.'],0.0,2018-01-01T04:27:08.883392Z,63.0,1368.87130802,29746120.8987,amplitude
64,20180101T043122Z,['DK.ILULI.'],0.0,2018-01-01T04:31:22.183392Z,10.4,1500.16475668,8110263.10319,amplitude
65,20180101T043354Z,['DK.ILULI.'],0.0,2018-01-01T04:33:54.643392Z,9.08,1369.74642103,6491711.27279,amplitude
66,20180101T043653Z,['DK.ILULI.'],0.0,2018-01-01T04:36:53.603392Z,83.46,1499.80860988,44392555.7429,amplitude
67,20180101T044100Z,['DK.ILULI.'],0.0,2018-01-01T04:41:00.703392Z,17.68,1486.42403303,17550151.0146,amplitude
68,20180101T044352Z,['DK.ILULI.'],0.0,2018-01-01T04:43:52.983392Z,12.78,1438.57971914,10913753.9933,amplitude
69,20180101T044751Z,['DK.ILULI.'],0.0,2018-01-01T04:47:51.423392Z,3.8,1460.81727095,1655981.58136,amplitude
70,20180101T044932Z,['DK.ILULI.'],0.0,2018-01-01T04:49:32.563392Z,6.98,1329.89719477,5038277.23931,amplitude
71,20180101T045744Z,['DK.ILULI.'],0.0,2018-01-01T04:57:44.763392Z,26.1,1363.43353059,20548531.1799,amplitude
72,20180101T050220Z,['DK.ILULI.'],0.0,2018-01-01T05:02:20.823392Z,56.38,1553.34481042,36283326.1558,amplitude
73,20180101T050820Z,['DK.ILULI.'],0.0,2018-01-01T05:08:20.403392Z,29.96,1422.59324302,27283481.6983,amplitude
74,20180101T051105Z,['DK.ILULI.'],0.0,2018-01-01T05:11:05.263392Z,4.62,1327.61452639,2258059.70569,amplitude
75,20180101T051409Z,['DK.ILULI.'],0.0,2018-01-01T05:14:09.163392Z,8.8,1480.72159339,8406840.38449,amplitude
76,20180101T051811Z,['DK.ILULI.'],0.0,2018-01-01T05:18:11.803392Z,25.54,1391.24466949,24425188.2514,amplitude
77,20180101T052016Z,['DK.ILULI.'],0.0,2018-01-01T05:20:16.403392Z,13.76,1543.79143458,12736401.8899,amplitude
78,20180101T052232Z,['DK.ILULI.'],0.0,2018-01-01T05:22:32.103392Z,11.24,1450.20070094,10081066.0379,amplitude
79,20180101T052413Z,['DK.ILULI.'],0.0,2018-01-01T05:24:13.463392Z,8.56,1175.94169223,4450478.69091,amplitude
80,20180101T053147Z,['DK.ILULI.'],0.0,2018-01-01T05:31:47.703392Z,35.08,1285.06380514,31621162.6468,amplitude
81,20180101T053612Z,['DK.ILULI.'],0.0,2018-01-01T05:36:12.463392Z,7.1,1429.3384377,5064424.12933,amplitude
82,20180101T054346Z,['DK.ILULI.'],0.0,2018-01-01T05:43:46.883392Z,15.78,1470.66459148,18708351.0182,amplitude
83,20180101T054554Z,['DK.ILULI.'],0.0,2018-01-01T05:45:54.763392Z,11.76,1524.44137336,10842555.2003,amplitude
