,event_id,stations,network_time,ref_time,ref_duration,attribute_24,attribute_25,attribute_26,attribute_27,attribute_28,attribute_29,attribute_30,attribute_34,attribute_35,attribute_36,attribute_37,attribute_38,attribute_39,attribute_40,attribute_68,attribute_69,attribute_70,attribute_71
0,20180101T000303Z,['DK.ILULI.'],0.0,2018-01-01T00:03:03.463392Z,21.08,3.60455969895,6.00229014828,0.0,-0.219186265454,0.954572964593,-0.773399557509,2.07937839485,10.3156860837,6.34469483755,5.9613643549,5.77457069046,12.986706257,4.15459449407,12.3042222019,0.311797370524,154.302449592,79.1434186757,0.774170503647
1,20180101T000447Z,['DK.ILULI.'],0.0,2018-01-01T00:04:47.023392Z,5.38,3.50652246818,5.36906499424,0.0,-0.303210182087,0.958405057793,-0.831805453178,1.60597070773,9.06404935693,5.41316175692,5.03409848019,4.8382978442,13.1345499531,4.17187018713,12.4543928641,0.411154800587,140.148403274,80.0303771965,0.981979529064
2,20180101T000711Z,['DK.ILULI.'],0.0,2018-01-01T00:07:11.263392Z,14.14,3.6137353924,5.88535970207,0.0,-0.301756535522,0.952651835292,-0.848106570487,1.99957397057,10.0825586972,6.07162754803,5.6473407608,5.50922881647,13.0824054877,4.16228061475,12.4026107505,0.220795116246,116.024445033,38.6717076195,0.94949373132
3,20180101T000835Z,['DK.ILULI.'],0.0,2018-01-01T00:08:35.343392Z,72.9,3.73411581809,6.51722623024,0.0,-0.204909649833,0.956136412574,-0.810420086793,2.31984062591,11.3521663391,7.01463199685,6.66515374343,6.51475178605,12.5635151873,4.16039295283,11.8546634005,0.12317490512,156.102273349,73.2124360392,0.799016974835
4,20180101T001601Z,['DK.ILULI.'],0.0,2018-01-01T00:16:01.263392Z,68.82,3.69168214274,6.37330098011,0.0,-0.215073607681,0.956323410876,-0.832405641759,2.1716454987,11.0949406447,6.90355403662,6.52634518745,6.3540891231,12.4932280609,4.1532813915,11.7826567914,0.188557427983,107.336430182,50.2341322402,0.898797283278
5,20180101T002232Z,['DK.ILULI.'],0.0,2018-01-01T00:22:32.083392Z,7.92,3.55786680585,5.54967017429,0.0,-0.232459807717,0.953557927248,-0.725765381939,1.6968048659,9.42085166124,5.88119410707,5.49128434309,5.34229316579,13.368829221,4.16797577834,12.7025026137,0.154430101966,161.830890359,24.6158892337,0.948490447507
6,20180101T002422Z,['DK.ILULI.'],0.0,2018-01-01T00:24:22.843392Z,11.08,3.54631089659,5.69015844655,0.0,-0.250502323718,0.950714420068,-0.786824458039,1.85113971767,9.69478702504,5.92564500754,5.55902605397,5.34527217678,13.0718818022,4.16081602006,12.3920016099,0.323520761706,159.101585844,51.1929106812,0.944229867284
7,20180101T002827Z,['DK.ILULI.'],0.0,2018-01-01T00:28:27.583392Z,34.24,3.67550515284,6.19917495978,0.0,-0.231882205846,0.954870467172,-0.781787299252,2.13302656079,10.721172885,6.61346146645,6.28863355403,6.09505806677,12.924491153,4.15798721674,12.2373859083,0.123247997646,127.630221927,46.3837559123,0.896137326849
8,20180101T003029Z,['DK.ILULI.'],0.0,2018-01-01T00:30:29.923392Z,56.3,3.63011638925,6.29347972707,0.0,-0.25800113505,0.955533274191,-0.867869761108,2.21509780846,10.9278718663,6.64100895178,6.29654531379,6.04389554422,12.3070337696,4.12435605913,11.5953769798,0.118327139824,167.464050434,13.8096848701,0.809466557273
9,20180101T003233Z,['DK.ILULI.'],0.0,2018-01-01T00:32:33.263392Z,28.88,3.6606534414,6.19599913193,0.0,-0.306251845056,0.955380073315,-0.858959530595,2.22007423057,10.7041231018,6.35969601468,6.03468943964,5.84048146376,12.8501116626,4.15731330195,12.1590343305,0.117975768489,122.194639322,54.8191763647,0.921439077827
